BUILDING,ROAD,TOWN,X_COR,Y_COR,POSTCODE,USE
98,WINDYHILL ROAD,ARTIKELLY,270396,426403,BT49 0QY,RESIDENTIAL
30,BISHOPS ROAD,LIMAVADY,270397,427911,BT49 0JL,RESIDENTIAL
73,DRUMALIEF ROAD,LIMAVADY,270499,426342,BT49 0QX,RESIDENTIAL
71,DRUMALIEF ROAD,LIMAVADY,270532,426330,BT49 0QX,RESIDENTIAL
62,BOLEA ROAD,LIMAVADY,270546,425035,BT49 0QT,RESIDENTIAL
62,DRUMALIEF ROAD,LIMAVADY,270554,426089,BT49 0QX,RESIDENTIAL
69,DRUMALIEF ROAD,LIMAVADY,270567,426304,BT49 0QX,RESIDENTIAL
60,DRUMALIEF ROAD,LIMAVADY,270620,426055,BT49 0QX,RESIDENTIAL
104,WINDYHILL ROAD,ARTIKELLY,270623,426513,BT49 0QY,RESIDENTIAL
65,BOLEA ROAD,LIMAVADY,270679,424934,BT49 0QT,RESIDENTIAL
115,WINDYHILL ROAD,ARTIKELLY,270863,426623,BT49 0QY,RESIDENTIAL
80,BOLEA ROAD,LIMAVADY,271187,425608,BT49 0QT,UNKNOWN
80,BOLEA ROAD,LIMAVADY,271197,425613,BT49 0QT,RESIDENTIAL
88,BOLEA ROAD,LIMAVADY,271292,425699,BT49 0QU,RESIDENTIAL
90,BOLEA ROAD,LIMAVADY,271321,425738,BT49 0QU,RESIDENTIAL
92,BOLEA ROAD,LIMAVADY,271335,425710,BT49 0QU,RESIDENTIAL
4,BOLEA PARK,LIMAVADY,271349,425789,BT49 0SH,RESIDENTIAL
3,BOLEA PARK,LIMAVADY,271354,425740,BT49 0SH,RESIDENTIAL
5,BOLEA PARK,LIMAVADY,271356,425785,BT49 0SH,RESIDENTIAL
1,BOLEA PARK,LIMAVADY,271359,425711,BT49 0SH,RESIDENTIAL
2,BOLEA PARK,LIMAVADY,271359,425733,BT49 0SH,RESIDENTIAL
121,WINDYHILL ROAD,ARTIKELLY,271361,426966,BT49 0QY,RESIDENTIAL
6,BOLEA PARK,LIMAVADY,271369,425770,BT49 0SH,RESIDENTIAL
7,BOLEA PARK,LIMAVADY,271370,425762,BT49 0SH,RESIDENTIAL
118,WINDYHILL ROAD,ARTIKELLY,271386,427032,BT49 0QY,RESIDENTIAL
93,BOLEA ROAD,LIMAVADY,271387,425678,BT49 0QU,RESIDENTIAL
94,BOLEA ROAD,LIMAVADY,271406,425717,BT49 0QU,RESIDENTIAL
96,BOLEA ROAD,LIMAVADY,271425,425691,BT49 0QU,RESIDENTIAL
96,BOLEA ROAD,LIMAVADY,271425,425691,BT49 0QU,RESIDENTIAL
123,WINDYHILL ROAD,ARTIKELLY,271426,426995,BT49 0QY,RESIDENTIAL
97,BOLEA ROAD,LIMAVADY,271502,425657,BT49 0QU,RESIDENTIAL
100,BOLEA ROAD,LIMAVADY,271509,426212,BT49 0QU,RESIDENTIAL
126,WINDYHILL ROAD,ARTIKELLY,271593,427153,BT49 0QY,RESIDENTIAL
13,DRUMALIEF ROAD,LIMAVADY,271607,425249,BT49 0QS,RESIDENTIAL
15,DRUMALIEF ROAD,LIMAVADY,271623,425270,BT49 0QS,RESIDENTIAL
128,WINDYHILL ROAD,ARTIKELLY,271627,427210,BT49 0QY,RESIDENTIAL
146,WINDYHILL ROAD,ARTIKELLY,271654,427849,BT49 0QY,RESIDENTIAL
140,WINDYHILL ROAD,ARTIKELLY,271864,427635,BT49 0QY,RESIDENTIAL
0,BISHOPS ROAD,COLERAINE,271966,430296,BTXX XXX,UNKNOWN
138,WINDYHILL ROAD,ARTIKELLY,271968,427555,BT49 0QY,RESIDENTIAL
135,WINDYHILL ROAD,ARTIKELLY,271973,427257,BT49 0QY,RESIDENTIAL
136,WINDYHILL ROAD,ARTIKELLY,271986,427515,BT49 0QY,RESIDENTIAL
115,BOLEA ROAD,LIMAVADY,272443,426348,BT49 0QU,RESIDENTIAL
130,BOLEA ROAD,LIMAVADY,273009,426729,BT49 0QU,RESIDENTIAL
131,BOLEA ROAD,LIMAVADY,273191,426602,BT49 0QU,RESIDENTIAL
0,BROIGHTER ROAD,LIMAVADY,264542,424207,BT49 9DY,UNKNOWN
3,BROIGHTER ROAD,LIMAVADY,264568,424578,BT49 9HG,RESIDENTIAL
2,BROIGHTER ROAD,LIMAVADY,264573,424559,BT49 9HG,RESIDENTIAL
4,BROIGHTER ROAD,LIMAVADY,264583,424593,BT49 9HG,RESIDENTIAL
1,BROIGHTER ROAD,LIMAVADY,264591,424557,BT49 9HG,RESIDENTIAL
51,BROIGHTER ROAD,LIMAVADY,264749,424245,BT49 9DY,COMMERCIAL
41,FARLOW ROAD,LIMAVADY,265071,424168,BT49 9DR,RESIDENTIAL
59,BURNALLY ROAD,LIMAVADY,265135,424277,BT49 9DP,RESIDENTIAL
64,BURNALLY ROAD,LIMAVADY,265139,424202,BT49 9DP,RESIDENTIAL
57,BURNALLY ROAD,LIMAVADY,265165,424285,BT49 9DP,RESIDENTIAL
40,BURNALLY ROAD,LIMAVADY,265663,424433,BT49 9DP,RESIDENTIAL
32,BURNALLY ROAD,LIMAVADY,265790,424578,BT49 9DP,RESIDENTIAL
42,SEACOAST ROAD,LIMAVADY,266372,424287,BT49 9DW,RESIDENTIAL
61,SEACOAST ROAD,LIMAVADY,266407,424529,BT49 9DW,RESIDENTIAL
49,SEACOAST ROAD,LIMAVADY,266414,424175,BT49 9DW,RESIDENTIAL
39,SEACOAST ROAD,LIMAVADY,266425,424132,BT49 9DW,RESIDENTIAL
59,SEACOAST ROAD,LIMAVADY,266576,424689,BT49 9DW,RESIDENTIAL
43,SEACOAST ROAD,LIMAVADY,266716,424103,BT49 9DW,RESIDENTIAL
45,SEACOAST ROAD,LIMAVADY,266794,424052,BT49 9DW,RESIDENTIAL
57,SEACOAST ROAD,LIMAVADY,266841,424691,BT49 9DW,COMMERCIAL
45,DOWLAND ROAD,LIMAVADY,268277,424783,BT49 0HR,RESIDENTIAL
11,DOWLAND ROAD,LIMAVADY,268295,424117,BT49 0HP,RESIDENTIAL
27,DOWLAND ROAD,LIMAVADY,268598,424317,BT49 0HP,RESIDENTIAL
25,DOWLAND ROAD,LIMAVADY,268625,424249,BT49 0HP,RESIDENTIAL
16,BOLEA ROAD,LIMAVADY,269493,424642,BT49 0QT,RESIDENTIAL
25,BOLEA ROAD,LIMAVADY,269629,424625,BT49 0QT,RESIDENTIAL
26,BOLEA ROAD,LIMAVADY,269727,424759,BT49 0QT,RESIDENTIAL
33,BOLEA ROAD,LIMAVADY,269818,424608,BT49 0QT,RESIDENTIAL
34,BOLEA ROAD,LIMAVADY,269824,424700,BT49 0QT,RESIDENTIAL
35,BOLEA ROAD,LIMAVADY,269845,424604,BT49 0QT,RESIDENTIAL
37,BOLEA ROAD,LIMAVADY,269861,424595,BT49 0QT,RESIDENTIAL
48,BOLEA ROAD,LIMAVADY,270264,424737,BT49 0QT,RESIDENTIAL
49,BOLEA ROAD,LIMAVADY,270265,424700,BT49 0QT,RESIDENTIAL
50,BOLEA ROAD,LIMAVADY,270278,424746,BT49 0QT,RESIDENTIAL
52,BOLEA ROAD,LIMAVADY,270286,424751,BT49 0QT,RESIDENTIAL
0,BOLEA ROAD,LIMAVADY,270298,424796,BT49 0QT,COMMERCIAL
51,BOLEA ROAD,LIMAVADY,270300,424679,BT49 0QT,RESIDENTIAL
54,BOLEA ROAD,LIMAVADY,270316,424787,BT49 0QT,RESIDENTIAL
0,BOLEA ROAD,LIMAVADY,270324,424724,BT49 0QT,RESIDENTIAL
0,BOLEA ROAD,LIMAVADY,270328,424697,BT49 0QT,RESIDENTIAL
53,BOLEA ROAD,LIMAVADY,270346,424760,BT49 0QT,RESIDENTIAL
86,BROAD ROAD,LIMAVADY,270563,423993,BT49 0QH,RESIDENTIAL
91,BROAD ROAD,LIMAVADY,270906,424059,BT49 0QP,RESIDENTIAL
112,BROAD ROAD,LIMAVADY,271405,424702,BT49 0QP,COMMERCIAL
101,BROAD ROAD,LIMAVADY,271413,424414,BT49 0QP,RESIDENTIAL
103,BROAD ROAD,LIMAVADY,271437,424374,BT49 0QP,RESIDENTIAL
110,BROAD ROAD,LIMAVADY,271450,424688,BT49 0QP,RESIDENTIAL
106,BROAD ROAD,LIMAVADY,271472,424551,BT49 0QP,RESIDENTIAL
111,BROAD ROAD,LIMAVADY,271778,424682,BT49 0QP,RESIDENTIAL
0,DOWLAND PARK,LIMAVADY,267374,425205,BT49 0EJ,RESIDENTIAL
5,DOWLAND PARK,LIMAVADY,267374,425205,BT49 0EJ,UNKNOWN
39364,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268279,425797,BT49 0HE,COMMERCIAL
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268188,425679,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268188,425679,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268188,425679,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268188,425679,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268188,425679,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,UNKNOWN
15,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
17,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,UNKNOWN
19,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
21,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,UNKNOWN
21,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,UNKNOWN
23,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
0,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,UNKNOWN
0,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,UNKNOWN
56,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,RESIDENTIAL
102,DOWLAND ROAD,LIMAVADY,267181,426052,BT49 0HR,COMMERCIAL
99,DOWLAND ROAD,LIMAVADY,267387,425834,BT49 0HR,UNKNOWN
99,DOWLAND ROAD,LIMAVADY,267387,425834,BT49 0HL,UNKNOWN
77,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,COMMERCIAL
89,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,COMMERCIAL
49,DOWLAND ROAD,LIMAVADY,267917,426622,BT49 0HR,RESIDENTIAL
49,DOWLAND ROAD,LIMAVADY,267917,426622,BT49 0HR,RESIDENTIAL
48,FREEHALL ROAD,LIMAVADY,268896,426987,BT49 0HU,RESIDENTIAL
0,FREEHALL ROAD,LIMAVADY,268896,426987,BT49 0HU,RESIDENTIAL
14,AGHANLOO ROAD,LIMAVADY,268275,425582,BT49 0HX,UNKNOWN
140,AGHANLOO ROAD,LIMAVADY,267639,429289,BT49 0HY,RESIDENTIAL
94,AGHANLOO ROAD,LIMAVADY,267867,427977,BT49 0HY,RESIDENTIAL
75,AGHANLOO ROAD,LIMAVADY,267909,428324,BT49 0HY,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,267086,429996,BT49 0HZ,RESIDENTIAL
40,SCOTCHTOWN ROAD,LIMAVADY,266268,430411,BT49 0JA,RESIDENTIAL
17,DUNCRUN ROAD,LIMAVADY,267588,431400,BT49 0JD,RESIDENTIAL
15,DUNCRUN ROAD,LIMAVADY,267588,431400,BT49 0JD,UNKNOWN
30,DUNCRUN ROAD,LIMAVADY,267588,431400,BT49 0JD,RESIDENTIAL
0,DUNCRUN ROAD,LIMAVADY,267588,431400,BT49 0JD,UNKNOWN
57,DUNCRUN ROAD,LIMAVADY,267874,431793,BT49 0JD,RESIDENTIAL
41,CURRAGH ROAD,LIMAVADY,268590,432562,BT49 0JE,RESIDENTIAL
122,DUNCRUN ROAD,LIMAVADY,269528,432405,BT49 0JF,RESIDENTIAL
45,TIRCREVEN ROAD,LIMAVADY,270207,432902,BT49 0JH,RESIDENTIAL
47,TIRCREVEN ROAD,LIMAVADY,270207,432902,BT49 0JH,RESIDENTIAL
47,BISHOPS ROAD,LIMAVADY,270397,427911,BT49 0JL,UNKNOWN
130,DUNCRUN ROAD,LIMAVADY,269972,432826,BT49 0JQ,RESIDENTIAL
272,SEACOAST ROAD,LIMAVADY,266756,431273,BT49 0JY,RESIDENTIAL
300,SEACOAST ROAD,LIMAVADY,266756,431273,BT49 0JY,RESIDENTIAL
382,SEACOAST ROAD,LIMAVADY,266898,432413,BT49 0LA,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,267325,431982,BT49 0LA,RESIDENTIAL
323,SEACOAST ROAD,LIMAVADY,266898,432413,BT49 0LA,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,267111,432731,BT49 0LA,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,267140,432720,BT49 0LA,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,266898,432413,BT49 0LA,UNKNOWN
8,LIMESTONE ROAD,LIMAVADY,267522,432723,BT49 0LB,RESIDENTIAL
454,SEACOAST ROAD,LIMAVADY,267239,433239,BT49 0LD,COMMERCIAL
408,SEACOAST ROAD,LIMAVADY,267239,433239,BT49 0LD,RESIDENTIAL
410,SEACOAST ROAD,LIMAVADY,267239,433239,BT49 0LD,RESIDENTIAL
444,SEACOAST ROAD,LIMAVADY,267239,433239,BT49 0LD,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,267311,434071,BT49 0LF,RESIDENTIAL
585,SEACOAST ROAD,LIMAVADY,270915,435051,BT49 0LG,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,271155,435197,BT49 0LG,COMMERCIAL
625,SEACOAST ROAD,LIMAVADY,272324,435556,BT49 0LH,RESIDENTIAL
661,SEACOAST ROAD,LIMAVADY,272324,435556,BT49 0LH,RESIDENTIAL
548,SEACOAST ROAD,LIMAVADY,269777,434280,BT49 0LL,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,269777,434280,BT49 0LL,UNKNOWN
608,SEACOAST ROAD,LIMAVADY,269777,434280,BT49 0LL,UNKNOWN
95,POINT ROAD,LIMAVADY,268185,435021,BT49 0LP,COMMERCIAL
107,POINT ROAD,LIMAVADY,268185,435021,BT49 0LP,COMMERCIAL
54,POINT ROAD,LIMAVADY,268185,435021,BT49 0LP,UNKNOWN
21,POINT ROAD,LIMAVADY,268185,435021,BT49 0LP,UNKNOWN
15,BENONE AVENUE,LIMAVADY,271476,435713,BT49 0LQ,RESIDENTIAL
39,BENONE AVENUE,LIMAVADY,271410,435722,BT49 0LQ,RESIDENTIAL
51,BENONE AVENUE,LIMAVADY,271410,435722,BT49 0LQ,RESIDENTIAL
0,BENONE AVENUE,LIMAVADY,271410,435722,BT49 0LQ,RESIDENTIAL
0,POINT ROAD,LIMAVADY,266837,437279,BT49 0LR,UNKNOWN
13,CARRIAGE COURT,LIMAVADY,267264,433002,BT49 0LU,RESIDENTIAL
17,CARRIAGE COURT,LIMAVADY,267286,433008,BT49 0LU,RESIDENTIAL
25,CARRIAGE COURT,LIMAVADY,267237,433034,BT49 0LU,RESIDENTIAL
2,CARRIAGE COURT,LIMAVADY,267279,432939,BT49 0LU,RESIDENTIAL
4,CARRIAGE COURT,LIMAVADY,267280,432952,BT49 0LU,RESIDENTIAL
6,CARRIAGE COURT,LIMAVADY,267285,432961,BT49 0LU,RESIDENTIAL
15,CARRIAGE COURT,LIMAVADY,267252,433004,BT49 0LU,RESIDENTIAL
19,CARRIAGE COURT,LIMAVADY,267278,433028,BT49 0LU,RESIDENTIAL
21,CARRIAGE COURT,LIMAVADY,267263,433038,BT49 0LU,RESIDENTIAL
23,CARRIAGE COURT,LIMAVADY,267247,433049,BT49 0LU,RESIDENTIAL
27,CARRIAGE COURT,LIMAVADY,267234,433027,BT49 0LU,RESIDENTIAL
31,CARRIAGE COURT,LIMAVADY,267224,433010,BT49 0LU,RESIDENTIAL
411,SEACOAST ROAD,LIMAVADY,268627,433938,BT49 0LW,RESIDENTIAL
0,THE LONGLANDS,LIMAVADY,267967,428475,BT49 0LX,RESIDENTIAL
1,OASIS COTTAGES,LIMAVADY,267185,432672,BT49 0LZ,RESIDENTIAL
2,OASIS COTTAGES,LIMAVADY,267164,432667,BT49 0LZ,RESIDENTIAL
3,OASIS COTTAGES,LIMAVADY,267155,432668,BT49 0LZ,RESIDENTIAL
4,OASIS COTTAGES,LIMAVADY,267154,432689,BT49 0LZ,RESIDENTIAL
3,MILL PARK,LIMAVADY,271615,425260,BT49 0QD,RESIDENTIAL
12,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
17,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
27,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
29,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
31,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
33,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
35,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
37,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
6,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
2,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
14,DRUMALIEF ROAD,LIMAVADY,271615,425260,BT49 0QS,RESIDENTIAL
77,BOLEA ROAD,LIMAVADY,270072,424734,BT49 0QT,RESIDENTIAL
14,BOLEA ROAD,LIMAVADY,269399,424624,BT49 0QT,RESIDENTIAL
0,BOLEA ROAD,LIMAVADY,269824,424700,BT49 0QT,RESIDENTIAL
42,BOLEA ROAD,LIMAVADY,270072,424734,BT49 0QT,RESIDENTIAL
102,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
104,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
109,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
117,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,UNKNOWN
116,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
106,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
122,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
149,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
147,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
150,BOLEA ROAD,LIMAVADY,271802,425980,BT49 0QU,RESIDENTIAL
72,DRUMALIEF ROAD,LIMAVADY,270471,426127,BT49 0QX,RESIDENTIAL
0,DRUMALIEF ROAD,LIMAVADY,270471,426127,BT49 0QX,RESIDENTIAL
65,DRUMALIEF ROAD,LIMAVADY,270471,426127,BT49 0QX,UNKNOWN
112,WINDYHILL ROAD,ARTIKELLY,271331,427166,BT49 0QY,RESIDENTIAL
113,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
108,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
160,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
142,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
0,WINDYHILL ROAD,ARTIKELLY,271947,427281,BT49 0QY,UNKNOWN
0,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
150,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
110,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
100,WINDYHILL ROAD,ARTIKELLY,271143,426960,BT49 0QY,RESIDENTIAL
41,WINDYHILL ROAD,ARTIKELLY,269302,425615,BT49 0QZ,RESIDENTIAL
56,WINDYHILL ROAD,ARTIKELLY,269500,425925,BT49 0QZ,RESIDENTIAL
76,WINDYHILL ROAD,ARTIKELLY,269289,425651,BT49 0QZ,RESIDENTIAL
64,WINDYHILL ROAD,ARTIKELLY,269598,426043,BT49 0QZ,RESIDENTIAL
70,WINDYHILL ROAD,ARTIKELLY,269932,427073,BT49 0QZ,RESIDENTIAL
70,WINDYHILL ROAD,ARTIKELLY,269932,427073,BT49 0QZ,RESIDENTIAL
23,WINDYHILL ROAD,ARTIKELLY,268683,425161,BT49 0RA,UNKNOWN
1,CHERRYVALE PARK,LIMAVADY,266126,425950,BT49 9AH,RESIDENTIAL
2,CHERRYVALE PARK,LIMAVADY,266065,425977,BT49 9AH,RESIDENTIAL
73,BURNALLY ROAD,LIMAVADY,264823,424171,BT49 9DP,RESIDENTIAL
51,BURNALLY ROAD,LIMAVADY,265318,424343,BT49 9DP,RESIDENTIAL
49,BURNALLY ROAD,LIMAVADY,265382,424367,BT49 9DP,RESIDENTIAL
53,SEACOAST ROAD,LIMAVADY,266841,424691,BT49 9DW,RESIDENTIAL
58,SEACOAST ROAD,LIMAVADY,266346,424677,BT49 9DW,RESIDENTIAL
73,SEACOAST ROAD,LIMAVADY,266461,424375,BT49 9DW,RESIDENTIAL
51,SEACOAST ROAD,LIMAVADY,266461,424375,BT49 9DW,COMMERCIAL
0,SEACOAST ROAD,LIMAVADY,266841,424691,BT49 9DW,UNKNOWN
0,SEACOAST ROAD,LIMAVADY,266841,424691,BT49 9DW,UNKNOWN
63,SEACOAST ROAD,LIMAVADY,266461,424375,BT49 9DW,UNKNOWN
47,SEACOAST ROAD,LIMAVADY,266461,424375,BT49 9DW,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,266841,424691,BT49 9DW,UNKNOWN
0,SEACOAST ROAD,LIMAVADY,266841,424691,BT49 9DW,UNKNOWN
0,CARSE ROAD,LIMAVADY,263501,424878,BT49 9DX,UNKNOWN
50,CARSE ROAD,LIMAVADY,263501,424878,BT49 9DX,RESIDENTIAL
20,CARSE ROAD,LIMAVADY,264375,424387,BT49 9DX,RESIDENTIAL
80,BROIGHTER ROAD,LIMAVADY,264780,425155,BT49 9DY,RESIDENTIAL
92,BROIGHTER ROAD,LIMAVADY,264780,425155,BT49 9DY,RESIDENTIAL
96,BROIGHTER ROAD,LIMAVADY,264780,425155,BT49 9DY,RESIDENTIAL
17,LOMOND ROAD,LIMAVADY,264367,426415,BT49 9DZ,RESIDENTIAL
61,CARROWCLARE ROAD,LIMAVADY,264360,429007,BT49 9EB,RESIDENTIAL
45,CARROWCLARE ROAD,LIMAVADY,263856,427455,BT49 9EB,RESIDENTIAL
87,CARROWCLARE ROAD,LIMAVADY,263856,427455,BT49 9EB,RESIDENTIAL
91,CARROWCLARE ROAD,LIMAVADY,263856,427455,BT49 9EB,RESIDENTIAL
59,CARROWCLARE ROAD,LIMAVADY,264512,428543,BT49 9EB,RESIDENTIAL
47,CARROWCLARE ROAD,LIMAVADY,263856,427455,BT49 9EB,RESIDENTIAL
0,CARROWCLARE ROAD,LIMAVADY,263856,427455,BT49 9EB,RESIDENTIAL
9,CARROWCLARE ROAD,LIMAVADY,266059,427870,BT49 9ED,RESIDENTIAL
177,SEACOAST ROAD,LIMAVADY,266870,428605,BT49 9EF,RESIDENTIAL
179,SEACOAST ROAD,LIMAVADY,266870,428605,BT49 9EF,RESIDENTIAL
219,SEACOAST ROAD,LIMAVADY,267023,429140,BT49 9EF,RESIDENTIAL
116,SEACOAST ROAD,LIMAVADY,266162,426830,BT49 9EG,RESIDENTIAL
118,SEACOAST ROAD,LIMAVADY,266136,426433,BT49 9EG,RESIDENTIAL
120,SEACOAST ROAD,LIMAVADY,266144,426471,BT49 9EG,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,266162,426830,BT49 9EG,RESIDENTIAL
125,SEACOAST ROAD,LIMAVADY,266162,426830,BT49 9EG,RESIDENTIAL
157,SEACOAST ROAD,LIMAVADY,266162,426830,BT49 9EG,RESIDENTIAL
161,SEACOAST ROAD,LIMAVADY,266162,426830,BT49 9EG,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,266162,426830,BT49 9EG,RESIDENTIAL
5,RAILWAY COTTAGES,LIMAVADY,263700,427041,BT49 9NU,RESIDENTIAL
3,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,COMMERCIAL
3,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,COMMERCIAL
0,BISHOPS ROAD,LIMAVADY,270135,426663,BT49 0JN,COMMERCIAL
0,BISHOPS ROAD,LIMAVADY,270397,427911,BT49 0JL,RESIDENTIAL
0,BISHOPS ROAD,LIMAVADY,270397,427911,BT49 0JL,RESIDENTIAL
55,BISHOPS ROAD,LIMAVADY,270397,427911,BT49 0JL,COMMERCIAL
55,BISHOPS ROAD,LIMAVADY,270397,427911,BT49 0JL,COMMERCIAL
59,BISHOPS ROAD,LIMAVADY,270397,427911,BT49 0JL,COMMERCIAL
32,BOLEA ROAD,LIMAVADY,270072,424734,BT49 0QT,RESIDENTIAL
0,BROAD ROAD,LIMAVADY,271457,424528,BT49 0QP,COMMERCIAL
0,BROAD ROAD,LIMAVADY,271457,424528,BT49 0QP,COMMERCIAL
0,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
0,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
0,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
0,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
0,DOWLAND ROAD,LIMAVADY,268288,424054,BT49 0HP,RESIDENTIAL
0,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,COMMERCIAL
0,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,RESIDENTIAL
64,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,RESIDENTIAL
80,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,COMMERCIAL
0,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,COMMERCIAL
0,DOWLAND ROAD,LIMAVADY,267722,425200,BT49 0HR,COMMERCIAL
0,DOWLAND ROAD,,267722,425200,BT49 0HR,COMMERCIAL
0,DRUMALIEF ROAD,LIMAVADY,270973,425929,BTXX XXX,COMMERCIAL
61,DRUMALIEF ROAD,LIMAVADY,270471,426127,BT49 0QX,RESIDENTIAL
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,COMMERCIAL
2,LIMAVADY SMALL BUSINESS AGENC,LIMAVADY,268194,425692,BT49 0HE,COMMERCIAL
0,AGHANLOO ROAD,LIMAVADY,268194,425692,BT49 0HE,COMMERCIAL
